name;abr
abazinska;abq
abchaziska;ab
abenakiska;abe
acehnesiska;ace
adygeiska;ady
afar;aa
afrikaans;af
ainu;ain
akan;ak
akkadiska;akk
akkalasamiska;sia
albanska;sq
alemanniska;als
aleutiska;ale
altaiska;tut
amhariska;am
anglo-normandiska;xno
arabiska;ar
aragonska;an
arameiska;arc
armeniska;hy
arumänska;roa-rup
assamesiska;as
asturiska;ast
avariska;av
avestiska;ave
aymara;ay
azerbajdzjanska;az
balinesiska;ban
baluchiska;bal
bambara;bm
banjaresiska;bjn
basjkiriska;ba
baskiska;eu
bats;bbl
bayerska;bar
bemba;bem
bengali;bn
berberspråk;ber
bidjara;bym
bihari;bh
bikol;bcl
bishnupriya manipuri;bpy
bislama;bi
bokmål;no
bosniska;bs
bottniska;gmq-bot
bretonska;br
buginesiska;bug
bulgariska;bg
burjatiska;bxr
burmesiska;my
cebuano;ceb
centralnahuatl;nhn‎
chamorro;ch
chantiska;kca
chavacano;cbk
cherokesiska;chr
cheyenne;chy
chichewa;ny
chinook jargon;chn
chuukesiska;chk
cia-cia;cia
cora;crn
cree;cr
dairi batak;btd
danska;da
dari;prs
demotiska;egy-dem
dinka;din
divehi;dv
dzongkha;dz
egyptiska;egy
enaresamiska;smn
engelska;en
erzya;myv
esperanto;eo
estniska;et
etruskiska;ett
ewe;ee
extremaduriska;ext
feniciska;phn
fijiansk hindi;hif
fiji;fj
filipino;fil
finsk romani;rmf
finska;fi
forndanska;gmq-fda
fornengelska;ang
fornfrankiska;frk
fornfranska;fro
fornfrisiska;ofs
forngeorgiska;oge
fornhögtyska;goh
forniriska;sga
fornkymriska;owl
fornkyrkoslaviska;cu
fornlågfrankiska;odt
fornnordiska;non
fornoccitanska;pro
fornpersiska;peo
fornportugisiska;roa-fpt
fornsaxiska;osx
fornspanska;osp
fornsvenska;gmq-fsv
fornturkiska;otk
fornöstslaviska;orv
frankoprovensalska;frp
franska;fr
frisiska;fy
friuliska;fur
futuniska;fud
färöiska;fo
gagauziska;gag
galiciska;gl
georgiska;ka
gotiska;got
grekiska;el
groningska;gos
grönländska;kl
guanche;gnc
guaraní;gn
guerreronahuatl;ngu
gujarati;gu
gusii;guz
haitisk kreol;ht
hakka;hak
hausa;ha
hawaiiska;haw
hebreiska;he
hettitiska;hit
hiligaynon;hil
hindi;hi
hindko;hnd
hmong daw;mww
hurritiska;xhu
högsorbiska;hsb
iberisk romani;rmq
ido;io
igbo;ig
ilokano;ilo
indonesiska;id
interlingua;ia
interlingue;ie
inuktitut;iu
iriska;ga
isländska;is
istriotiska;ist
italienska;it
iñupiaq;ik
jakutiska;sah
japanska;ja
javanesiska;jv
jiddisch;yi
kabardinska;kbd
kabyliska;kab
kalmuckiska;xal
kamba;kam
kammu;xmu
kanjobal;kjb
kannada;kn
kantonesiska;yue
kanuri;kr
kapampangan;pam
kapiz;cps
karakalpakiska;kaa
karatjajbalkariska;krc
karelska;krl
kashmiri;ks
kasjubiska;csb
katalanska;ca
kazakiska;kk
khakasiska;kjh
khmer;km
kikongo;kg
kikuyu;ki
kildinsamiska;sjd
kinesiska;zh
kirgiziska;ky
kirundi;rn
klassisk grekiska;grc
klassisk nahuatl;nci
klassisk syriska;syc
klingonska;tlh
komi;kpv
koptiska;cop
koreanska;ko
korjakiska;ckt
korniska;kw
korsikanska;co
krimtatariska;crh
krimtjakiska;jct
kroatiska;hr
kumyk;kum
kurdiska;ku
kvänska;fkv
kymriska;cy
ladino;lad
ladinska;lld
lakandonska;lac
lakota;lkt
lak;lbe
lao;lo
latin;la
laziska;lzz
lettgalliska;ltg
lettiska;lv
lezginska;lez
liguriska;lij
limburgiska;li
lingala;ln
litauiska;lt
liviska;liv
livvi;olo
lojban;jbo
lombardiska;lmo
luganda;lg
luhya;luy
lulesamiska;smj
luxemburgiska;lb
lågskotska;sco
lågsorbiska;dsb
lågtyska;nds
maa;mas
maduresiska;mad
maithili;mai
makassariska;mak
makedonska;mk
malagassiska;mg
malajiska;ms
malayalam;ml
maltesiska;mt
manchu;mnc
mansiska;mns
manx;gv
maori;mi
mapudungun;arn
marathi;mr
mara;mrh
marshallesiska;mh
medelengelska;enm
medelfranska;frm
medelhögtyska;gmh
medellågtyska;gml
medelnederländska;dum
medelpersiska;pal
meänkieli;fit
min nan;zh-min-nan
minangkabau;min
mirandesiska;mwl
miskito;miq
moksja;mdf
moldaviska;mo
mongoliska;mn
mossi;mos
mykensk grekiska;gmy
nahuatl;nah
nauruanska;na
navajo;nv
ndonga;ng
neapolitanska;nap
nederländska;nl
nepali;ne
ngaju dayak;nij
nordfrisiska;frr
nordkurdiska;kmr
nordndebele;nd
nordsamiska;se
norfuk;pih
normandiska;nrm
norn;nrn
novial;nov
nynorska;nn
nyöstsyriska;aii
occitanska;oc
ojibwe;oj
okinawianska;ryu
oriya;or
oromo;om
osmanska;ota
ossetiska;os
palauiska;pau
pali;pi
pangasinan;pag
papiamento;pap
pashto;ps
patwa;jam
pennsylvaniatyska;pdc
persiska;fa
piedmontesiska;pms
pikardiska;pcd
pitesamiska;sje
pitjantjatjara;pjt
polabiska;pox
polska;pl
portugisiska;pt
powhatan;pim
preussiska;prg
punjabi;pa
quechua;qu
rejang;rej
romani;rom
rumänska;ro
rusinska;rue
rwanda;rw
ryska;ru
rätoromanska;rm
samoanska;sm
sango;sg
sanskrit;sa
sardiska;sc
sasak;sas
saterfrisiska;stq
schlesiska;szl
schwabiska;swg
selkupiska;sel
sepedi;nso
serbiska;sr
sesotho;st
shauraseni;psu
shona;sn
sicilianska;scn
sindhi;sd
singalesiska;si
siswati;ss
sjoriska;cjs
skoltsamiska;sms
skotsk gäliska;gd
slovakiska;sk
slovenska;sl
somaliska;so
sorani;ckb
spanska;es
sumeriska;sux
sundanesiska;su
surigaonon;sul
svanetiska;sva
svenska;sv
svenskt teckenspråk;swl
swahili;sw
sydazerbajdzjanska;azb
sydkurdiska;sdh
sydndebele;nr
sydsamiska;sma
tadzjikiska;tg
tagalog;tl
tahitiska;ty
tai lü;khb
tamil;ta
tatariska;tt
telugu;te
tersamiska;sjt
tetum;tet
thai;th
tibetanska;bo
tigrinska;ti
tiwi;tiw
tjeckiska;cs
tjetjenska;ce
tjuvasjiska;cv
tlingit;tli
toba batak;bbc
tok pisin;tpi
tonganska;to
tsonga;ts
tswana;tn
tumbuka;tum
tupinambá;tpn
turkiska;tr
turkmeniska;tk
tuvinska;tyv
twi;tw
tyska;de
udmurtiska;udm
ugaritiska;uga
uiguriska;ug
ukrainska;uk
umesamiska;sju
ungerska;hu
uralbanska;sqj-usq
urdu;ur
urgermanska;gem-ugm
urindoariska;inc-uia
urindoeuropeiska;ine-uie
urindoiranska;iir-uir
uriranska;ira-uir
uritaliska;itc-uit
urkeltiska;cel-uce
ursamiska;smi-usm
ursemitiska;sem-use
urslaviska;sla-usl
urturkiska;trk-utr
uzbekiska;uz
vallonska;wa
venda;ve;Wikipedia}}
venetianska;vec
vepsiska;vep
vietnamesiska;vi
vilamoviska;wym
vitryska;be
volapük;vo
votiska;vot
västmariska;mrj
västpanjabi;pnb
võro;fiu-vro
wallisianiska;wls
waray-waray;war
wolof;wo
xhosa;xh
yi;ii
yoruba;yo
yukatekiska;yua
zarma;dje
zazaiska;diq
zeeländska;zea
zhuang;za
zulu;zu
älvdalska;ovd
östmariska;mhr
žemaitiska;sgs
